init,r,r_error,additive_error,time,crps,scale
100,0,0,1,1,0.028130094440851242,log
100,0,0,1,2,0.1541386120718617,log
100,0,0,1,3,0.023380081487531318,log
100,0,0,1,4,0.05048536051717085,log
100,0,0,10,1,0.27868182500122474,log
100,0,0,10,2,0.4549033573462058,log
100,0,0,10,3,0.23967356880903196,log
100,0,0,10,4,0.16603881003788531,log
100,0,0,-1,1,0.025881626919183758,log
100,0,0,-1,2,0.10857324428792114,log
100,0,0,-1,3,0.037928328885736363,log
100,0,0,-1,4,0.09053566771459333,log
100,0,0,-10,1,0.06991142907000458,log
100,0,0,-10,2,0.041395166058422035,log
100,0,0,-10,3,0.10050593180316826,log
100,0,0,-10,4,0.17467220593143046,log
100,0,0.01,0,1,0.026019998658093665,log
100,0,0.01,0,2,0.15749826783626236,log
100,0,0.01,0,3,0.024222208990480408,log
100,0,0.01,0,4,0.05013033070074676,log
100,0,0.01,1,1,0.03795938251387268,log
100,0,0.01,1,2,0.19398461333692604,log
100,0,0.01,1,3,0.024384072167340537,log
100,0,0.01,1,4,0.029789781609386914,log
100,0,0.01,10,1,0.3092101683244039,log
100,0,0.01,10,2,0.488369250969249,log
100,0,0.01,10,3,0.27036716368140673,log
100,0,0.01,10,4,0.19535626730120947,log
100,0,0.01,-1,1,0.024164386493342238,log
100,0,0.01,-1,2,0.11789242550203742,log
100,0,0.01,-1,3,0.03161559205746666,log
100,0,0.01,-1,4,0.07555146966326053,log
100,0,0.01,-10,1,0.06336705278191236,log
100,0,0.01,-10,2,0.04808084789951288,log
100,0,0.01,-10,3,0.09583086280187218,log
100,0,0.01,-10,4,0.16406901092552847,log
100,0,0.025,0,1,0.056309162563669544,log
100,0,0.025,0,2,0.21981267661560436,log
100,0,0.025,0,3,0.033522049551687874,log
100,0,0.025,0,4,0.023743553130415554,log
100,0,0.025,1,1,0.07652466642753974,log
100,0,0.025,1,2,0.2556025084312511,log
100,0,0.025,1,3,0.053235921667610916,log
100,0,0.025,1,4,0.022388687522588317,log
100,0,0.025,10,1,0.34637180999800066,log
100,0,0.025,10,2,0.5328899592544478,log
100,0,0.025,10,3,0.31506690605186416,log
100,0,0.025,10,4,0.23472920242340778,log
100,0,0.025,-1,1,0.037724255279748195,log
100,0,0.025,-1,2,0.1763893702892008,log
100,0,0.025,-1,3,0.023105482186456725,log
100,0,0.025,-1,4,0.04081373016831658,log
100,0,0.025,-10,1,0.05087891553766734,log
100,0,0.025,-10,2,0.05302015500059297,log
100,0,0.025,-10,3,0.081082146528383775,log
100,0,0.025,-10,4,0.14993466149532342,log
100,0,0.05,0,1,0.13749304852539107,log
100,0,0.05,0,2,0.3206895310780879,log
100,0,0.05,0,3,0.10027482380070826,log
100,0,0.05,0,4,0.045240286827121244,log
100,0,0.05,1,1,0.16768973319813288,log
100,0,0.05,1,2,0.3531097459927137,log
100,0,0.05,1,3,0.13025717807513512,log
100,0,0.05,1,4,0.06548066617649936,log
100,0,0.05,10,1,0.43159592310845846,log
100,0,0.05,10,2,0.6141992895736714,log
100,0,0.05,10,3,0.38812787141229405,log
100,0,0.05,10,4,0.31249895829200375,log
100,0,0.05,-1,1,0.11004769000747706,log
100,0,0.05,-1,2,0.2872154239264621,log
100,0,0.05,-1,3,0.07292363764210107,log
100,0,0.05,-1,4,0.030695519626982633,log
100,0,0.05,-10,1,0.038080975928425645,log
100,0,0.05,-10,2,0.07569711228717987,log
100,0,0.05,-10,3,0.06310273965163482,log
100,0,0.05,-10,4,0.12003694461204861,log
100,0,0.1,0,1,0.3394387842743982,log
100,0,0.1,0,2,0.5272924208427651,log
100,0,0.1,0,3,0.3025459726807176,log
100,0,0.1,0,4,0.2295439149686989,log
100,0,0.1,1,1,0.3732353526367925,log
100,0,0.1,1,2,0.5460602921925489,log
